link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/bcri11,BCRI11,Títulos e Val. Mob.,"R$ 131,13",3227.0,"R$ 0,83","0,63%","1,98%","4,35%","9,91%","0,66%","0,73%","0,83%","6,02%","0,84%","1,47%","25,88%","R$ 178.992.623,94","R$ 103,46","1,27","0,86%","2,24%","3,11%","7,91%",N/A,N/A,0
/funds/bnfs11,BNFS11,Outros,"R$ 130,30",535.0,"R$ 0,77","0,59%","2,04%","4,23%","8,25%","0,68%","0,70%","0,69%","5,52%","-1,88%","-1,30%","3,68%","R$ 63.998.228,15","R$ 91,43","1,43","1,00%","0,02%","1,02%","4,67%",N/A,N/A,18
/funds/bbfi11b,BBFI11B,Lajes Corporativas,"R$ 2.620,01",148.0,"R$ 25,71","0,95%","2,72%","5,79%","12,98%","0,91%","0,97%","1,08%","7,95%","2,66%","3,64%","22,28%","R$ 399.411.088,83","R$ 3.072,39","0,85","0,79%","-0,01%","0,78%","6,04%","38,59%",N/A,2
/funds/bbpo11,BBPO11,Lajes Corporativas,"R$ 150,17",20157.0,"R$ 1,06","0,70%","2,09%","4,26%","8,75%","0,70%","0,71%","0,73%","5,73%","1,00%","1,70%","14,30%","R$ 1.636.606.380,03","R$ 102,80","1,46","1,00%","-0,08%","0,91%","6,91%","0,00%",N/A,64
/funds/bbrc11,BBRC11,Outros,"R$ 132,60",1058.0,"R$ 0,92","0,68%","2,04%","4,08%","8,12%","0,68%","0,68%","0,68%","5,41%","-0,26%","0,42%","2,32%","R$ 163.741.756,51","R$ 102,98","1,29","0,89%","0,03%","0,92%","7,87%",N/A,N/A,20
/funds/rndp11,RNDP11,Títulos e Val. Mob.,"R$ 955,99",2.0,"R$ 5,04","0,53%","1,63%","3,24%","6,41%","0,54%","0,54%","0,53%","4,32%","0,79%","1,32%","3,48%","R$ 115.717.204,13","R$ 1.076,63","0,89","0,53%","0,28%","0,81%","3,81%",N/A,N/A,0
/funds/bcia11,BCIA11,Títulos e Val. Mob.,"R$ 138,89",642.0,"R$ 0,85","0,63%","2,13%","4,22%","8,12%","0,71%","0,70%","0,68%","5,51%","5,11%","5,77%","31,82%","R$ 210.077.257,70","R$ 124,33","1,12","0,68%","0,15%","0,84%","8,05%",N/A,N/A,0
/funds/care11,CARE11,Híbrido,"R$ 1,30",81020.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 252.043.939,54","R$ 1,44","0,90",N/A,N/A,N/A,N/A,N/A,N/A,0
/funds/cxri11,CXRI11,Híbrido,"R$ 1.092,00",25.0,"R$ 7,00","0,64%","1,95%","4,00%","8,48%","0,65%","0,67%","0,71%","5,35%","2,04%","2,69%","9,67%","R$ 174.745.937,86","R$ 1.108,96","0,98","0,63%","0,31%","0,95%","8,41%",N/A,N/A,0
/funds/cpts11b,CPTS11B,Títulos e Val. Mob.,"R$ 102,40",24245.0,"R$ 0,75","0,74%","2,17%","4,24%","8,98%","0,72%","0,71%","0,75%","5,51%","-9,82%","-9,15%","3,84%","R$ 153.289.859,05","R$ 97,15","1,05","0,77%","-0,56%","0,21%","6,31%",N/A,N/A,0
